year,stage,date,puzzle_pieces,time_limit,puzzle_image_url,rank,name1,name2,country,origin1,origin2,time,time_seconds,pieces_completed,gap,cumulative_gap,qualified
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,17,Maria Antonenkova,Ekaterina Khvostova,Russia,Saint Petesburg,,00:45:57,2757,,+ 25'',at 11' 23'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,18,Maria Dolors Torra Torreguitart,Mateu Torra Torreguitart,Spain,Sabadell (Barcelona),,00:46:35,2795,,+ 38'',at 12' 01',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,18,Luis Pavón Herrera,Sebastián Blázquez González,Spain,San Sebastián de los Reyes (Madrid),Madrid,00:46:35,2795,,+ 00',at 12' 01',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,20,Laura Aranguren Sanz,Ana Jesús Barricarte Arostegui,Spain,Obanos (Navarra),Mutilva (Navarra),00:46:56,2816,,+ 21'',at 12' 22'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,21,Johanna Mª Van Deenen,Susana Pérez Van Deenen,The Netherlands,Calella (Barcelona),,00:47:10,2830,,+ 14'',at 12' 36'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,22,Gisela Arranz Toro,Elisa Toro Arévalo,Spain,Madrid,,00:47:57,2877,,+ 47'',at 13' 23'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,23,Maria Jesús Gómez Fernández,Laura Muñoz Arenales,Spain,Pontevedra,Laguna de Duero (Valladolid),00:48:13,2893,,+ 16'',at 13' 39'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,24,Fernando Iglesias Martín,Gonzalo López Santos,Spain,Sonseca (Toledo),Segovia,00:48:28,2908,,+ 15'',at 13' 54'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,25,Gaelle García Sánchez-Fuentes,Elsa García Sánchez-Fuentes,Spain,Arroyo de la Encomienda (Valladolid),Valladolid,00:48:49,2929,,+ 21'',at 14' 15'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,26,Julia Koval,Maria Solovyeva,Russia,Gdansk,Saint Petesburg,00:49:31,2971,,+ 42'',at 14' 57'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,27,Mayra García Simón,Mª Julia Berné Aguirre,Spain,Albatera (Alicante),Alfaro (La Rioja),00:49:37,2977,,+ 06',at 15' 03',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,28,Michela Utili,Elisa Fabbri,Italy,Riolo Terme (Ravenna),Faenza (Milano),00:50:23,3023,,+ 46'',at 15' 49'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,29,Berenice Morales Cabrera,Jaxeline Blanco Ruiz,Mexico,Ciudad de México,Mijas (Málaga),00:50:50,3050,,+ 27'',at 16' 16'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,30,Isabel Sonsona Torrent,Pilar Sonsona Torrent,Spain,Sant Vicenç Dels Horts (Barcelona),,00:51:40,3100,,+ 50'',at 17' 06',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,31,Yana Ryshuchkina,Ekaterina Kudriavtseva,Russia,Saint Petesburg,,00:52:00,3120,,+ 20'',at 17' 26'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,32,Elena González Álvarez,Verónica Alonso González,Spain,León,,00:53:17,3197,,+1' 17'',at 18' 43'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,33,Tina Loges,Laura Urban,Germany,Hürth (Rin-Erft),,00:53:25,3205,,+ 08',at 18' 51'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,34,David Caballero Calzado,Sergio Olcina Maroto,Spain,Paracuellos de Jarama (Madrid),,00:53:28,3208,,+ 03',at 18' 54'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,35,Raquel Pérez Mesón,María Pérez Marcos,Spain,Salamanca,,00:53:52,3232,,+ 24'',at 19' 18'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,36,Naiara Acebo Álvarez,Luis Carlos Acebo Blanco,Spain,Posada del Bierzo (León),,00:54:44,3284,,+ 52'',at 20' 10'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,37,Jimena Gordillo Uribe,José Luis Ruiz Ludeña,Colombia,Barcelona,,00:55:58,3358,,+1' 14'',at 21' 24'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,38,Sergey Suprunov,Nadezhda Shigina,Russia,Tangarog,Tomsk,00:56:06,3366,,+ 08',at 21' 32'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,39,Dan Martín,Sarah Jane Bodell,Ireland,London (England),,00:57:07,3427,,+1' 01',at 22' 33'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,40,Diana Santillán Perosanz,Pablo Rubio Martín,Spain,Castillo de la Vega (Burgos),Valladolid,00:57:39,3459,,+ 32'',at 23' 05',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,41,Anastasia Chukina,Andrey Avdeev,Russia,Moscow,,00:57:41,3461,,+ 02',at 23' 07',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,42,Álvaro Fernández Novo,Eneko Acebo Álvarez,Spain,Torre del Bierzo (León),Posada del Bierzo (León),00:58:03,3483,,+ 22'',at 23' 29'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,43,Pablo Suárez-Bustamante Pica,Rafael Jurado Villalobos,Spain,Ocaña (Toledo),Vegas de Matute (Segovia),00:58:58,3538,,+ 55'',at 24' 24'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,44,Meritxell Quintana Pérez,Javier Parra Jacinto,Andorra,Andorra la Vella,,00:59:16,3556,,+ 18'',at 24' 42'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,45,Marc Casadejust Espasa,Roser Tarrio Mosquera,Spain,Barcelona,Torrelavit (Barcelona),00:59:45,3585,,+ 29'',at 25' 11'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,46,Ole Nesheim,Tormod KÅrstad,Norway,Trondheim (Trondelag),,00:59:56,3596,,+ 11'',at 25' 22'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,47,Sara Esteban Fernández,Eva Esteban Fernández,Spain,Zamora,,00:59:57,3597,,+ 01',at 25' 23'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,48,Mª Isabel Juarez Fernández,Patricia Blanco García,Spain,Fuenlabrada (Madrid),,01:00:46,3646,,+ 49'',at 26' 12'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,49,Cristina Roura Suárez,Isabel Pérez Diego,Spain,Castellbell I el Vilar (Barcelona),Candás (Asturias),01:00:53,3653,,+ 07',at 26' 19'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,50,Leyre Pérez Blasco,Tania Lendinez de la Llave,Spain,Zaragoza,Illescas (Toledo),01:01:17,3677,,+ 24'',at 26' 43'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,51,Carmen Hernández Fernández,Laura García Vicente,Spain,Salamanca,,01:02:18,3738,,+1' 01',at 27' 44'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,52,Itziar Guillerna Fernández,Nazareth Peña García,Spain,Bilbao (Vizcaya),Santa Perpetua de la Mogoda (Barcelona),01:02:57,3777,,+ 39'',at 28' 23'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,53,Gratsiela Toneva,Ventsislav Atanasov,Bulgaria,Sofia,,01:03:31,3811,,+ 34'',at 28' 57'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,54,Penélope Gil Pérez,Antonio José Ariza Macías,Spain,Málaga,,01:03:42,3822,,+ 11'',at 29' 08',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,55,Marta Bertol Oliveros,Begoña Bayo Bernal,Spain,Figueruelas (Zaragoza),,01:03:55,3835,,+ 13'',at 29' 21'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,56,Cristian Fernández Araya,Eva Roca Lobo,Costa Rica,Barcelona,,01:04:04,3844,,+ 09',at 29' 30'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,57,Rocío García Mateos-Cañero,Manuel Heredero Cabrera,Spain,Madrid,,01:05:31,3931,,+1' 27'',at 30' 57'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,58,Rafael Santillán Perosanz,María Carmen Perosanz Gutiérrez,Spain,Burgos,,01:05:43,3943,,+ 12'',at 31' 09',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,59,Jose Luis Velasco Álvarez,Patricia Redondo Pardo,Spain,Valladolid,,01:06:30,3990,,+ 47'',at 31' 56'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,60,Klára Šmitmajerová,Petra Čičová,Czech Republic,Ločenice (České Budějovice),Prague,01:06:48,4008,,+ 18'',at 32' 14'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,61,Andrea Cildoz Guembe,Sergio Garayalde Buey,Spain,Obanos (Navarra),Pamplona (Navarra),01:06:59,4019,,+ 11'',at 32' 25'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,62,Rebbeca Morley,Lauren Zolpys,Canada,Victoria,,01:07:32,4052,,+ 33'',at 32' 58'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,63,Juán Francisco Muñoz Barrero,Gonzalo Ruiz Mayer,Spain,Alfaro (La Rioja),Alcobendas (Madrid),01:08:34,4114,,+1' 02',at 34' 00',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,64,Carina Verna,Alice Ferrúa Esteves,Brazil,Sao Paulo,Florianópolis (Santa Catarina),01:08:46,4126,,+ 12'',at 34' 12'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,65,Irene Fernández Gago,Esther Blanco Fernández,Spain,León,,01:08:50,4130,,+ 04',at 34' 16'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,66,Alessandra Dosil Vázquez,Begoña Vázquez Iglesias,Spain,Coruña,Noia (Coruña),01:09:10,4150,,+ 20'',at 34' 36'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,67,Federico Carecelén Mañas,Inés Carecelén Parra,Spain,Chinchilla de Montearagón (Albacete),Alicante,01:09:18,4158,,+ 08',at 34' 44'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,68,Ana Cristina Navarro Rodríguez,Daniel Carballo Guille,Spain,San Sebastián de los Reyes (Madrid),,01:09:56,4196,,+ 38'',at 35' 22'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,69,Yuliya Kim,Raman Valynets,Belarus,Minsk,,01:09:59,4199,,+ 03',at 35' 25'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,70,Eduardo Heras Villoldo,Alejandro Heras Gago,Spain,Colmenar Viejo (Madrid),,01:10:05,4205,,+ 06',at 35' 31'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,71,Mª Inmaculada Palencia Morchón,Cristian Valle de Diego,Spain,San Andrés del Rabanedo (León),Miranda de Ebro (Burgos),01:10:30,4230,,+ 25'',at 35' 56'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,72,Mª Victoria Meilán Rodríguez,Cristina Acebes García,Spain,San Andrés de Montejos (León),Campaspero (Valladolid),01:10:55,4255,,+ 25'',at 36' 21'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,73,Karin Sabo Mancusi,Ana Maria Aguilera de Barros,Brazil,Sao Paulo,Macapá (Amapá),01:11:46,4306,,+ 51'',at 37' 12'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,74,Juana Bertol Oliveros,María Bosqued Oliveros,Spain,Figueruelas (Zaragoza),,01:12:01,4321,,+ 15'',at 37' 27'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,75,Yolanda Peñalver Ferré,Ione Castillo Peñalver,Spain,Valladolid,,01:12:09,4329,,+ 08',at 37' 35'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,76,Ivan Horta Alonso,Gloria Quintero Durán,Mexico,Ciudad de México,Ciudad Juarez,01:12:25,4345,,+ 16'',at 37' 51'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,77,Alicia Aragoneses Díaz,Laura Nieto Martín,Spain,Collado Villalba (Madrid),,01:13:15,4395,,+ 50'',at 38' 41'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,78,Esther Sastre Baza,Verónica Herrero Pérez,Spain,San Miguel del Arroyo (Valladolid),Valladolid,01:13:19,4399,,+ 04',at 38' 45'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,79,Mª Carmen Salas Gregorio,Fernando Lalanza Alcalde,Spain,Peñaflor de Gállego (Zaragoza),,01:13:53,4433,,+ 34'',at 39' 19'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,80,Susana Domínguez Jiménez,Alba Navarro Bartrolí,Spain,Jerez de la Frontera (Cádiz),Manresa (Barcelona),01:13:57,4437,,+ 04',at 39' 23'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,81,David Corbí Garrido,Inés Peña Pérez,Spain,Madrid,Calahorra (La Rioja),01:14:14,4454,,+ 17'',at 39' 40'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,82,Mª del Pilar Pérez Carmona,Melania Fernández Escaño,Spain,Chiclana (Cádiz),Gojar (Granada),01:14:15,4455,,+ 01',at 39' 41'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,83,Aranzazu Jiménez Sánchez,Cristina Carneros Gutiérrez,Spain,Madrid,,01:14:25,4465,,+ 10'',at 39' 51'',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,84,Carmen Labrador de Ocampo,Pablo Berdejo Labrador,Spain,Salamanca,,01:14:38,4478,,+ 13'',at 40' 04',False
2019,final,24/09/2019,500,01:30:00,https://worldjigsawpuzzle.org/users/img/puzzles/abb8a3a241b730bd04ef5a141b2ca119e3ec57d5f085a4b98ad67bd3.png,85,César Alberto Raposo Funcia,María Araceli Sánchez Sánchez,Spain,Salamanca,,01:15:00,4500,,+ 22'',at 40' 26'',False
