year,stage,date,puzzle_pieces,time_limit,rank,team_name,members,country,origin,puzzle_partial_ids,puzzle_image_urls,time,time_seconds,pieces_completed,gap,cumulative_gap,qualified
2019,final,23/09/2019,5000,08:00:00,11,La Mesa de Al Lado,Luis Carlos Acebo Blanco / Naiara Acebo Álvarez / Álvaro Fernández Novo / Carmen Hernández Fernández / Laura García Vicente,Spain,El Bierzo,2/3/1/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,06:31:00,23460,,+9' 30'',at 139' 43'',False
2019,final,23/09/2019,5000,08:00:00,12,Spuzzles I,Silvia Hernández Cámara / Carmen Hermida Díaz / Ignacio Torrecillas Martínez / Mª de los Ángeles De la Coba García,Spain,Alcobendas,2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,06:51:48,24708,,+20' 48'',at 160' 31'',False
2019,final,23/09/2019,5000,08:00:00,13,Nos Falta Una,Laura Aranguren Sanz / Ana Jesús Barricarte Arostegui / Sonia Osinaga Nuin / Zigor Urdapilleta Mayayo / Violeta Romero Barrios,Spain,"Burlada, Lekunberri, Zaragoza",4/1/3/2,https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png,07:07:04,25624,,+15' 16'',at 175' 47'',False
2019,final,23/09/2019,5000,08:00:00,14,Vips Brasil,Ednéia Silveira / Carina Verna / Alice Ferrúa Esteves / Karin Sabo Mancusi / Natalia Gomes de Oliveira Duzi Silva,Brazil,Sao Paulo,2/1/4/3,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,07:13:25,26005,,+6' 21'',at 182' 08',False
2019,final,23/09/2019,5000,08:00:00,15,Piezasrotas,Luis Pavón Herrera / Iciar Caballero Ruiz / Sebastián Blázquez González / Ana Cristina Navarro Rodríguez / Daniel Carballo Guille,Spain,Madrid,2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,07:20:25,26425,,+7' 00',at 189' 08',False
2019,final,23/09/2019,5000,08:00:00,16,Despiezadores,Mª Isabel Juarez Fernández / Ramón López del Olmo / Patricia Blanco García / Tania Lendinez de la Llave,Spain,Madrid,4/1/2/3,https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,07:51:51,28311,,+31' 26'',at 220' 34'',False
2019,final,23/09/2019,5000,08:00:00,17,Cuatro Piezas,Diana Santillán Perosanz / Rafael Santillán Perosanz / María Carmen Perosanz Gutiérrez / Pablo Rubio Martín,Spain,"Castillo de la Vega, Burgos",2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,07:56:42,28602,,+4' 51'',at 225' 25'',False
2019,final,23/09/2019,5000,08:00:00,18,Six Puzzlers,Jimena Gordillo Uribe / Natalia Vaquerizas Muñoz / Alejandro Darias Mateos / Sergio Olcina Maroto / Ramón Turpin Sevilla,Spain,Barcelona,4/1/2/3,https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,07:59:03,28743,,+2' 21'',at 227' 46'',False
2019,final,23/09/2019,5000,08:00:00,19,Toospuzzleros,Luis Eizaguirre Fernández-Palacios / Carmen Eizaguirre Granados / Asunción Fernández-Palacios Peironcely / Rocío Eizaguirre Fernández-Palacios / Cristina Schaver Eizaguirre,Spain,Madrid,3/1/2/4,https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4897,,,False
2019,final,23/09/2019,5000,08:00:00,20,Australia Team,D’Arne Healy / Jenny Kipps / Michela Utili / Elisa Fabbri,Australia,Australia,2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4884,,,False
2019,final,23/09/2019,5000,08:00:00,21,Russia Old School,Sergey Suprunov / Nadezhda Shigina / Julia Koval / Tatiana Bratchikova,Russia,Tangarog,2/1/4/3,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,,,4847,,,False
2019,final,23/09/2019,5000,08:00:00,22,Turkish Team,Pelin Çelik / Ayse Dilara Düğmeci / Esra Yıldırım / Subiye Sengez,Türkiye,Estambul,2/1/4/3,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,,,4746,,,False
2019,final,23/09/2019,5000,08:00:00,23,Where is exit?,Yana Ryshuchkina / Ekaterina Kudriavtseva / Bodgan Maliavin / Anna Kudryavtseva,Russia,Saint Petesburg,1/4/2/3,https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,,,4676,,,False
2019,final,23/09/2019,5000,08:00:00,24,Leonas & Astur,Elena González Álvarez / Mª Inmaculada Palencia Morchón / Isabel Pérez Diego / Verónica Alonso González,Spain,Burgos,2/4/1/3,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,,,4655,,,False
2019,final,23/09/2019,5000,08:00:00,25,Arranz Toro,Gisela Arranz Toro / Elisa Toro Arévalo / Diego Arranz Toro / Alejandro Arranz Saavedra,Spain,Madrid,2/4/1/3,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,,,4577,,,False
2019,final,23/09/2019,5000,08:00:00,26,Vallisegovianas,Jose Luis Velasco Álvarez / Patricia Redondo Pardo / Charo Cardona Robledano / Irene Caballero Cardona,Spain,Valladolid,4/2/1/3,https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,,,4533,,,False
2019,final,23/09/2019,5000,08:00:00,27,Puzzle Locura,Meritxell Quintana Pérez / Javier Parra Jacinto / Sofia Domingos De Carvalho / David Torres Zaragoza,Andorra,Andorra,2/3/1/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4480,,,False
2019,final,23/09/2019,5000,08:00:00,28,Bibendum Puzzlero,Gaelle García Sánchez-Fuentes / Mª del Carmen Álvarez Sánchez / Alejandra Benavides Rodríguez / Alberto Álvarez Rodil / Gustavo Casero Guerra,Spain,Valladolid,2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4422,,,False
2019,final,23/09/2019,5000,08:00:00,29,Dr Panush,Patricia Pérez Leal / Juan José López Montes / Sergio Martínez Gómez / Abel Vale López / Antonio Fra Murado,Spain,Coruña,2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4406,,,False
2019,final,23/09/2019,5000,08:00:00,30,Asian Team,Xiaochen Li / Yijiao Zhao / Thu Nguyen Tran Anh / Karin Harmsen,China,"China, Vietnam",2/3/1/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4351,,,False
2019,final,23/09/2019,5000,08:00:00,31,Señor Y Señora Dúo Rock,Elsa García Sánchez-Fuentes / Mila Mingo Amor / David Martín Herrera / Laura Martín Martínez / Ignacio González Villafáfila,Spain,Valladolid,1/2/4/3,https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,,,4270,,,False
2019,final,23/09/2019,5000,08:00:00,32,Puzzle Locura 2,Itziar Guillerna Fernández / Nazareth Peña García / Eva Xicola Coromina / Marc Casadejust Espasa,Andorra,Andorra,3/1/2/4,https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4222,,,False
2019,final,23/09/2019,5000,08:00:00,33,Czech Dragon Babies,Pavel Kadlecik / Petra Čičová / Klára Šmitmajerová / Jitka Malcova,Czech Republic,Czesch,2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4215,,,False
2019,final,23/09/2019,5000,08:00:00,34,Los Revueltos,Andrea Cildoz Guembe / Sergio Garayalde Buey / Juán Francisco Muñoz Barrero / Mª Julia Berné Aguirre / Leyre Pérez Blasco,Spain,Navarra,2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4208,,,False
2019,final,23/09/2019,5000,08:00:00,35,Los Increíbles. Calapuzzma,David Corbí Garrido / Inés Peña Pérez / José Manuel Corbí Garrido / María Pino Hernández,Spain,Madrid,1/4/2/3,https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png|https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png,,,4186,,,False
2019,final,23/09/2019,5000,08:00:00,36,Airpuzz,Felipe Terrón Gómez / Pedro Villar Sanz / Ángelo Benavides Cabrejo / Juán Martínez Sánchez,Spain,Madrid,2/1/3/4,https://worldjigsawpuzzle.org/users/img/puzzles/8e8bdd7ded0013fb4c8d68e40eaae629532f8be5655272cba3c673d4.png|https://worldjigsawpuzzle.org/users/img/puzzles/507bf3e2332c3e7d454455200de788b38a8cd9a9c37df94445c09a13.png|https://worldjigsawpuzzle.org/users/img/puzzles/071330ce6695195212971a9724ac7d65dc39f6d157020b7491052f16.png|https://worldjigsawpuzzle.org/users/img/puzzles/04b1ad0aef34eab69a87363fc4993a8ab366fa46a6a8055560a34b6b.png,,,4178,,,False
